result-100-source_combo 1 [44, 196, 385, 173] field [44, 150, 385, 43] row 19 
result-100-source_combo 2 [44, 196, 385, 173] field [44, 150, 385, 43] row 19 
result-100-target_combo 1 [522, 196, 384, 173] field [522, 150, 384, 43] row 19 
result-100-target_combo 2 [522, 196, 384, 173] field [522, 150, 384, 43] row 19 
result-138-source_combo 1 [50, 216, 434, 200] field [50, 165, 434, 48] row 22 
result-138-source_combo 2 [50, 216, 434, 200] field [50, 165, 434, 48] row 22 
result-138-target_combo 1 [590, 216, 434, 200] field [590, 165, 434, 48] row 22 
result-138-target_combo 2 [590, 216, 434, 200] field [590, 165, 434, 48] row 22 
result-200-source_combo 1 [50, 216, 434, 200] field [50, 165, 434, 48] row 22 
result-200-source_combo 2 [50, 216, 434, 200] field [50, 165, 434, 48] row 22 
result-200-target_combo 1 [590, 216, 434, 200] field [590, 165, 434, 48] row 22 
result-200-target_combo 2 [590, 216, 434, 200] field [590, 165, 434, 48] row 22 
